PrevYrDrought,SoilMoisture,GroundWater,Plantings,WindyDays,CropDamage
0,23,3,2,22,Moderate
0,16,19,2,11,Mild
1,13,1,2,30,Moderate
0,24,26,2,2,No Damage
0,10,3,2,27,Moderate
1,7,11,1,20,Moderate
1,11,16,2,22,Moderate
1,13,3,1,13,Moderate
0,22,13,2,7,No Damage
1,23,3,1,20,Moderate
0,2,10,2,37,Severe
0,16,20,2,15,No Damage
1,23,3,2,49,Moderate
1,13,1,2,31,Moderate
1,6,17,2,35,Moderate
0,15,3,1,17,Moderate
1,18,7,2,48,Moderate
0,7,25,2,42,Moderate
0,9,6,2,15,Moderate
1,10,3,2,19,Moderate
0,13,3,1,10,Moderate
0,23,3,1,20,Moderate
0,22,3,2,28,Moderate
1,13,3,1,11,Moderate
1,9,6,2,17,Moderate
0,7,11,2,55,Moderate
0,22,3,2,28,Moderate
1,1,8,2,18,Severe
0,7,11,2,20,Moderate
1,18,5,2,19,Moderate
1,10,3,2,12,Moderate
1,8,3,2,27,Moderate
0,7,11,2,55,Moderate
1,22,3,1,68,Severe
0,13,14,2,17,Mild
1,10,3,2,19,Moderate
1,23,3,1,19,Moderate
0,6,17,2,32,Moderate
1,15,1,2,19,Moderate
0,22,1,2,42,Moderate
1,13,1,2,30,Moderate
1,22,3,2,58,Severe
0,20,15,2,8,Mild
0,14,15,2,8,Mild
1,5,2,2,48,Severe
0,6,17,2,37,Moderate
0,10,22,2,9,Mild
0,23,3,2,20,Moderate
0,25,7,2,27,Mild
0,14,23,2,7,No Damage
0,18,21,2,9,No Damage
1,7,11,2,30,Moderate
0,14,22,2,7,No Damage
0,18,12,2,6,Mild
1,22,3,2,45,Moderate
1,23,3,2,49,Moderate
0,21,2,2,42,Moderate
1,13,3,1,17,Moderate
0,9,5,2,19,Moderate
1,5,2,2,37,Severe
1,2,9,2,31,Severe
1,5,2,2,33,Severe
1,2,9,2,31,Severe
0,7,11,2,20,Moderate
0,12,7,2,34,Moderate
0,18,5,2,19,Moderate
1,23,3,1,25,Moderate
0,6,17,2,39,Moderate
1,5,2,2,33,Severe
1,5,2,2,37,Severe
1,7,11,2,30,Moderate
0,17,18,2,9,Mild
1,3,2,2,37,Severe
0,8,7,2,23,Moderate
1,13,1,2,31,Moderate
0,14,15,2,18,Mild
1,10,3,2,39,Severe
0,23,3,1,20,Moderate
0,21,2,2,42,Moderate
1,20,2,2,25,Moderate
1,15,3,1,20,Moderate
1,11,1,2,51,Moderate
1,9,2,2,24,Moderate
1,13,1,2,29,Moderate
0,13,1,2,20,Moderate
0,4,16,2,21,Moderate
0,6,17,2,32,Moderate
1,23,3,2,38,Moderate
0,18,21,2,12,No Damage
0,17,17,2,1,No Damage
0,14,15,2,8,Mild
0,1,15,1,22,Moderate
1,8,3,2,24,Moderate
1,20,2,2,45,Moderate
0,28,7,2,27,Mild
0,17,17,2,11,No Damage
0,18,21,2,12,No Damage
0,22,1,2,11,Moderate
0,9,24,2,10,Mild
1,19,4,2,10,Moderate
1,15,1,2,28,Severe
0,25,7,2,23,Mild
1,22,3,2,46,Moderate
1,8,3,2,24,Moderate
0,18,27,2,5,No Damage
0,23,3,2,24,Moderate
0,23,3,1,20,Moderate
0,1,15,1,22,Moderate
1,23,3,1,19,Moderate
0,10,22,2,9,Mild
0,9,5,2,24,Moderate
0,16,8,2,16,Mild
1,13,1,2,54,Moderate
0,7,25,2,42,Moderate
0,14,15,2,12,Mild
0,14,15,2,18,Mild
1,9,2,2,39,Moderate
1,17,18,2,14,No Damage
0,1,15,2,31,Moderate
1,22,3,2,15,Moderate
1,2,9,2,39,Severe
1,9,5,2,19,Moderate
1,15,3,1,17,Moderate
0,23,3,2,21,Moderate
0,15,13,2,7,Mild
0,20,2,2,14,Moderate
1,20,2,2,3,Moderate
0,25,7,2,23,Mild
0,7,11,2,23,Moderate
0,12,8,2,14,Mild
0,10,3,2,27,Moderate
1,5,2,2,48,Severe
0,14,15,2,6,Mild
0,15,3,1,20,Moderate
0,4,16,2,21,Moderate
1,8,3,2,43,Severe
0,15,13,2,7,Mild
1,13,3,1,10,Moderate
1,13,3,1,13,Moderate
1,3,2,2,36,Severe
1,23,3,2,38,Moderate
1,7,11,2,23,Moderate
0,23,3,1,20,Moderate
0,22,1,2,51,Moderate
0,6,17,2,33,Moderate
0,6,17,2,33,Moderate
1,11,1,2,51,Moderate
1,23,3,1,20,Moderate
1,22,3,2,46,Moderate
0,6,17,2,39,Moderate
0,16,8,2,16,Mild
